  batch      l2_tst    l2_trn     l2_etst   l2_etrn     l2_ftst   l2_ftrn         lr
 169000    2.88e+01  2.92e+01    1.07e-01  1.04e-01    9.99e-01  1.01e+00    4.2e-03
 170000    1.08e+01  1.00e+01    5.18e-02  5.19e-02    3.78e-01  3.49e-01    4.1e-03
 171000    6.67e+00  7.24e+00    2.25e-02  2.22e-02    2.32e-01  2.52e-01    4.1e-03
 172000    1.57e+01  1.49e+01    6.19e-02  6.16e-02    5.48e-01  5.20e-01    4.1e-03
 173000    1.59e+01  1.54e+01    6.01e-03  5.57e-03    5.55e-01  5.38e-01    4.1e-03
 174000    1.45e+01  1.42e+01    2.09e-01  2.07e-01    5.07e-01  4.94e-01    4.1e-03
 175000    7.06e+00  7.33e+00    2.35e-02  2.27e-02    2.46e-01  2.56e-01    4.1e-03
 176000    2.87e+01  2.92e+01    1.10e-02  1.97e-02    9.99e-01  1.02e+00    4.1e-03
 177000    4.58e+00  7.30e+00    1.07e-02  1.10e-02    1.60e-01  2.54e-01    4.1e-03
 178000    2.87e+01  3.04e+01    1.10e-02  1.22e-02    9.99e-01  1.06e+00    4.1e-03
 179000    1.63e+01  1.62e+01    3.08e-02  3.06e-02    5.67e-01  5.64e-01    4.1e-03
 180000    9.27e+00  8.80e+00    9.98e-02  1.00e-01    3.25e-01  3.09e-01    4.1e-03
 181000    1.54e+01  1.54e+01    6.71e-02  6.90e-02    5.40e-01  5.41e-01    4.1e-03
 182000    2.85e+01  2.67e+01    1.78e-02  1.92e-02    9.99e-01  9.38e-01    4.1e-03
 183000    2.85e+01  2.87e+01    2.02e-02  2.01e-02    9.99e-01  1.01e+00    4.1e-03
 184000    2.96e+01  2.79e+01    4.61e-02  4.37e-02    1.04e+00  9.78e-01    4.1e-03
 185000    2.54e+01  2.45e+01    9.11e-02  9.30e-02    8.92e-01  8.59e-01    4.1e-03
 186000    4.93e+00  4.94e+00    5.88e-03  5.72e-03    1.73e-01  1.73e-01    4.1e-03
 187000    4.93e+00  4.57e+00    3.99e-02  4.06e-02    1.73e-01  1.60e-01    4.1e-03
